annee;numAgglomeration;nbEtablissements;nbEcrans;nbFauteuils;nbMultiplexes;nbSeances;nbEntrees;recettes;tauxOccupation;nbEtablissementsAE;nbEcransAE;nbFauteuilsAE;nbSeancesAE;nbEntreesAE;recettesAE;tauxOccupationAE;populationAgglomeration
2014;25602;4;22;3550;2;36944;906260;5679741,96;16,38666349;2;4;789;5592;119023;559919,8;15,30399563;2495
2015;25602;4;25;4066;2;39226;878003;5594666,74;14,90784673;2;4;763;5181;104191;498503,7;15,11604964;14541106
2016;25602;4;25;4092;2;42654;920630;5876391,42;14,1106712;2;4;789;5680;137364;666608,1;17,30788131;13465
2017;25602;4;25;4066;2;42520;876624;5732840,57;13,56394188;2;4;763;5799;123163;599165,9;16,24342386;17686
2018;25602;4;25;4066;2;42353;809404;5335142,72;12,61172124;2;4;763;5684;123589;606747,7;16,64915386;3816
2019;25602;4;25;4066;2;41100;836923;5690320,85;13,4190984;2;4;763;5505;107368;531185,8;14,66371302;4741
2020;25602;4;25;4066;2;22996;263841;1727173,72;7,540531202;2;4;763;3005;47603;235095,4;11,90860968;1039397
2010;752;6;20;4348;1;29249;538260;3140891,22;8,869984185;1;4;497;3674;34130;122800,3;7,438306516;21641
2011;752;6;20;4348;1;26888;596374;3486007,25;10,89268376;1;4;497;3642;42783;158772,6;9,395897983;28545
2012;752;6;20;4348;1;27810;561731;3291520,55;9,90020677;2;5;802;4081;72836;276483,6;12,01967744;26894
2013;752;6;20;4348;1;28568;503894;2961973,85;8,533950165;2;5;802;3670;71259;264539,8;11,88618724;10853
2014;752;6;20;4348;1;29630;587302;3476252,8;9,707584998;2;5;802;4569;79615;307390,6;11,85352047;9615
2015;752;6;20;4348;1;29435;589938;3630964;9,847688655;2;5;802;4698;79048;306536,1;11,41825378;14541106
2016;752;5;19;4122;1;29718;600546;3670017,38;10,00515797;2;5;802;5002;86377;341308,2;11,90377425;11877
2017;752;5;19;4122;1;29858;584702;3673746,99;9,674815138;1;4;497;4432;55300;210360,5;10,15051395;15177
2018;752;5;19;4122;1;29807;595210;3808440,72;9,854145534;1;4;497;4510;54672;224192,5;9,733569527;14825
2019;752;5;19;4144;1;29358;582298;3891844,46;9,734473478;1;4;497;4425;57900;241818;10,26430133;11135
2020;752;6;28;5471;2;19810;201272;1243161,43;5,466632336;2;5;802;2729;28962;119365;7,259247005;1639558
2010;34501;3;26;4108;2;34033;621016;4034193,55;11,46504764;1;5;655;4994;22937;117107,8;3,51976405;1639558
2011;34501;3;26;4108;2;42629;691585;4563783,55;10,03554162;1;5;655;2715;8683;38702,2;2,435016223;7341
2012;34501;2;21;3453;2;39910;661777;4319503,15;10,2441594;;;;;;;;10706072
2013;34501;2;21;3453;2;39781;631291;4091036,6;9,792760638;;;;;;;;210018
2014;34501;2;21;3453;2;40145;687824;4423864,05;10,5485839;;;;;;;;10706072
2015;34501;2;21;3453;2;39834;690699;4547455,5;10,70215007;;;;;;;;10706072
2016;34501;2;21;3453;2;39574;695485;4567229,19;10,8417748;;;;;;;;1585498
2017;34501;2;21;3453;2;39769;700740;4757024,8;10,87665119;;;;;;;;10706072
2018;34501;2;21;3453;2;40101;674302;4600467,74;10,39416473;;;;;;;;14541106
2019;34501;2;21;3453;2;39924;702077;4956172,34;10,95447138;1;9;1462;16042;322798;2095105,6;12,78766988;14541106
