annee;numCommune;nbEtablissements;nbEcrans;nbFauteuils;nbMultiplexes;nbSeances;nbEntrees;recettes;tauxOccupation;nbCinemasAE;RME;indiceFrequentation;populationCommune
1985;49007;;24;4946;;;1019502;3359443,988;;;3,295181361;7,494244255;513275
1986;49007;;23;4746;;;1108773;4413408,658;;;3,98044384;7,841171395;513275
1987;49007;;23;4749;;;911639;3830246,623;;;4,201494915;6,447052417;7341
1988;49007;;22;4626;;;851418;3778415,045;;;4,437790892;6,021173376;29897
1989;49007;;22;4626;;;814983;3808058,905;;;4,672562378;5,763507397;143325
1990;49007;;22;4626;;;807292;3870578,925;;;4,794521592;5,70911714;44799
1991;49007;;21;4147;;;768304;3875738,708;;;5,04453798;5,433396509;8132
1992;49007;4;21;4147;;27568;778308;4024756,501;14,93845221;;5,171161675;5,504144154;861635
1993;49007;4;21;4147;;27832;881663;4622899,977;16,49646856;;5,243386619;6,235064072;48363
1994;49007;4;21;4147;;30670;863752;4642440,739;14,45615365;;5,374738049;6,108398631;3908
1995;49007;4;21;4147;;31416;878311;4812379,775;14,36866123;;5,479129574;5,805901678;802
1996;49007;4;21;4171;;32747;927362;5157366,718;14,23373069;;5,561330654;6,130143642;2149
1997;49007;4;21;4171;;32236;948944;5382597,03;14,96481641;;5,672196705;6,272807197;53720
1998;49007;4;21;4171;;30710;1066840;6196529,955;17,90344251;;5,808302984;7,052135458;3607
1999;49007;4;21;4171;;31815;938755;5492937,342;15,06035984;;5,851300224;6,205454822;2840
2000;49007;4;27;5345;1;30458;928469;5532707,937;14,87700782;;5,958958174;6,137461247;14703
2001;49007;3;22;4851;1;33568;1247610;7456990,641;16,88236982;;5,977020576;8,247079899;9531
2002;49007;3;22;4851;1;34757;1270453;7769953,17;16,98417986;1;6,115891867;8,398079046;125694
2003;49007;3;22;4851;1;33914;1207714;7527365;16,77948728;1;6,232738049;8,198730525;22234
2004;49007;3;22;4838;1;34152;1361065;8533498,3;18,88946885;1;6,269721358;9,239774617;3483
2005;49007;3;22;4665;1;34418;1209704;7591399,27;17,22627795;1;6,275418838;8,21223991;6874
2006;49007;3;24;4823;1;35130;1300307;8208025,33;18,23717087;1;6,312374947;8,725897045;5466
2007;49007;3;24;4823;1;36901;1231137;7729737,02;17,1879677;1;6,278535224;8,200746045;2093
2008;49007;3;24;4823;1;36822;1248702;7992749,3;17,41335347;1;6,400846079;8,241169483;463
2009;49007;3;24;4823;1;38047;1283502;8481385,82;17,06051335;1;6,608003587;8,470842133;5180
2010;49007;3;24;4823;1;38223;1334148;9328591,33;17,76664489;1;6,992171281;8,805095037;14254
2011;49007;3;24;4823;1;39162;1371185;9437451,73;17,7211527;1;6,882697616;9,049531415;25336
2012;49007;3;24;4823;1;39842;1302652;9084736,99;16,62735495;1;6,974032197;8,597228089;1328
2013;49007;3;24;4823;1;38803;1216936;8464045,4;16,28867241;1;6,95520997;8,031520591;38397
2014;49007;2;19;3408;1;35296;1267469;8694083,05;19,827609;1;6,859404885;8,365027719;3210
2015;49007;2;19;3408;1;35627;1191273;8284250,3;18,74865142;1;6,954115723;7,862150211;6556
2016;49007;2;19;3408;1;35081;1065711;7204318,54;16,99803752;1;6,760105263;7,033467529;7032
2017;49007;2;19;3333;1;34457;1041945;6806595,99;17,56948279;1;6,532586643;6,876616948;6095
2018;49007;2;19;3333;1;33816;985281;6652003,83;16,85019303;1;6,751377353;6,502646515;277639
2019;49007;2;19;3333;1;34708;1033564;7373039,04;17,20959708;1;7,133606666;6,821304118;277639
2020;49007;2;19;3333;1;16729;353398;2418668,12;12,37493246;1;6,844034545;2,332352165;2036
1960;74010;;5;3127;;;685457;226012,6807;;;0,329725542;15,84688475;2133
1961;74010;;5;3125;;;674243;227331,5172;;;0,337165558;15,58763149;3837
1962;74010;;6;3901;;;616594;275584,5276;;;0,446946496;14,25486071;19209
1963;74010;;6;3901;;;671279;336904,2483;;;0,501884087;15,51910762;9510
1964;74010;;6;3901;;;611236;345331,1726;;;0,564971914;14,13099064;2356
1965;74010;;6;3901;;;580027;369178,315;;;0,636484707;13,40947867;1456
1966;74010;;6;3898;;;507308;330344,5195;;;0,651171516;9,311137215;110370
1967;74010;;6;3898;;;448537;316604,747;;;0,705860937;8,232453564;785
1968;74010;;6;3898;;;458723;312352,1816;;;0,680916766;8,419407532;303382
1969;74010;;6;3898;;;458275;338249,306;;;0,738092425;8,411184935;53462
1970;74010;;6;3898;;;518463;394996,3184;;;0,761860187;9,515876221;53462
1971;74010;;7;4108;;;494375;399442,3415;;;0,807974395;9,281945853;6969
1972;74010;;7;4108;;;529256;468189,3783;;;0,884617989;9,936840524;342522
1973;74010;;8;4122;;;500448;509718,0151;;;1,018523433;9,395967106;150672
1974;74010;;9;4272;;;533641;628560,5611;;;1,177871567;10,01916939;9956
1975;74010;;10;4606;;;549028;754153,7021;;;1,373616104;10,30806203;31550
1976;74010;;11;3885;;;566374;856303,9955;;;1,511905553;10,63373512;5965
1977;74010;;11;3297;;;563533;921493,1771;;;1,635207126;10,58039503;4666
1978;74010;;15;3823;;;652763;1165582,043;;;1,785612914;13,06440508;66213
1979;74010;;16;3904;;;719620;1415444;;;1,966932548;14,40248174;5761
1980;74010;;17;4057;;;720757;1534819,813;;;2,129455299;14,42523767;13883
1981;74010;;18;4850;;;767840;1840260,871;;;2,396672316;15,36755729;6690
1982;74010;;18;4800;;;821358;2178730,161;;;2,652595045;16,43866707;10751
1983;74010;;19;4932;;;786358;2211097,221;;;2,811820089;15,73817672;10818
1984;74010;;20;4948;;;794910;2365982,679;;;2,976415794;15,90933654;1260
1985;74010;;20;4924;;;770356;2395066,445;;;3,109038477;15,41791254;3576
1986;74010;;19;4549;;;785329;2543445,988;;;3,238701217;15,8192128;10161
1987;74010;;19;4559;;;694228;2454572,937;;;3,535687032;13,98412698;1328
1988;74010;;19;4559;;;591991;2210679,206;;;3,734312187;11,92472404;22392
1989;74010;;19;4559;;;579279;2307910,732;;;3,984109094;11,66866087;20137
1990;74010;;19;4547;;;592963;2420008,324;;;4,081213033;11,94430344;2579
1991;74010;;19;4547;;;545133;2395005,618;;;4,393433562;10,98084361;10381
1992;74010;9;19;4516;;15997;515127;2646977,927;15,76726158;;5,138495802;10,37642011;77215
1993;74010;9;19;4516;;16235;549738;2828135,686;16,69249163;;5,144515543;11,07360406;33970
1994;74010;8;18;4184;;15986;518565;2485029,202;16,26539412;;4,792126737;10,44567319;19645
1995;74010;8;18;4184;;16516;529853;2715016,99;16,22424949;;5,124094778;10,52381425;61332
1996;74010;11;21;4994;;17008;594512;3017174,906;17,46140139;;5,075044585;11,80805593;3616
1997;74010;11;21;4994;;17163;618597;3103262,561;17,89680558;;5,016614309;12,28642647;1517
1998;74010;12;22;5057;;16517;623695;3220396,154;18,85140608;;5,163415057;12,38768174;28974
1999;74010;11;21;4970;;16386;556514;2871913,403;16,88603292;;5,16054116;11,05334869;9571
2000;74010;12;22;5449;;14689;515482;2759399,168;16,5700289;;5,353046601;10,23838087;4083
